survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,man,True,Southampton,no,False,2
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,True,1
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),0,2,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,3
1,2,female,MinMaxScaler(),1,0,MinMaxScaler(),C,Second,child,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),1,1,MinMaxScaler(),S,Third,child,False,Southampton,yes,False,3
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),1,5,MinMaxScaler(),S,Third,man,True,Southampton,no,False,7
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,child,False,Southampton,no,True,1
1,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,yes,True,1
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,woman,False,Cherbourg,yes,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
1,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,yes,True,1
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,child,False,Queenstown,yes,True,1
1,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,yes,True,1
0,3,female,MinMaxScaler(),3,1,MinMaxScaler(),S,Third,child,False,Southampton,no,False,5
1,3,female,MinMaxScaler(),1,5,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,7
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
0,1,male,MinMaxScaler(),3,2,MinMaxScaler(),S,First,man,True,Southampton,no,False,6
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),C,First,man,True,Cherbourg,no,True,1
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),C,First,man,True,Cherbourg,no,False,2
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),2,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,3
1,3,female,MinMaxScaler(),1,0,MinMaxScaler(),C,Third,child,False,Cherbourg,yes,False,2
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
0,2,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,woman,False,Southampton,no,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
1,2,female,MinMaxScaler(),1,2,MinMaxScaler(),C,Second,child,False,Cherbourg,yes,False,4
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,False,2
0,3,male,MinMaxScaler(),2,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,False,3
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
0,3,male,MinMaxScaler(),4,1,MinMaxScaler(),S,Third,child,False,Southampton,no,False,6
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,False,2
1,2,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,False,2
1,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,yes,True,1
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
1,2,female,MinMaxScaler(),1,2,MinMaxScaler(),S,Second,child,False,Southampton,yes,False,4
0,3,male,MinMaxScaler(),5,2,MinMaxScaler(),S,Third,child,False,Southampton,no,False,8
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),,First,woman,False,,yes,True,1
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
0,3,male,MinMaxScaler(),3,2,MinMaxScaler(),S,Third,child,False,Southampton,no,False,6
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),C,First,man,True,Cherbourg,no,True,1
1,3,male,MinMaxScaler(),1,1,MinMaxScaler(),C,Third,man,True,Cherbourg,yes,False,3
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),4,2,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,7
0,3,male,MinMaxScaler(),2,0,MinMaxScaler(),S,Third,man,True,Southampton,no,False,3
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),5,2,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,8
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,False,2
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
1,3,female,MinMaxScaler(),3,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,4
0,3,male,MinMaxScaler(),1,3,MinMaxScaler(),S,Third,man,True,Southampton,no,False,5
1,1,female,MinMaxScaler(),3,2,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,6
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
0,3,male,MinMaxScaler(),1,2,MinMaxScaler(),S,Third,man,True,Southampton,no,False,4
1,1,male,MinMaxScaler(),0,1,MinMaxScaler(),C,First,man,True,Cherbourg,yes,False,2
1,2,female,MinMaxScaler(),0,1,MinMaxScaler(),S,Second,woman,False,Southampton,yes,False,2
0,2,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,man,True,Southampton,no,False,2
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,True,1
0,1,male,MinMaxScaler(),0,1,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),2,0,MinMaxScaler(),S,Third,man,True,Southampton,no,False,3
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,True,1
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),1,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,False,2
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),C,Third,child,False,Cherbourg,no,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,woman,False,Cherbourg,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,2,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,man,True,Southampton,no,False,2
0,1,male,MinMaxScaler(),0,1,MinMaxScaler(),C,First,man,True,Cherbourg,no,False,2
0,2,male,MinMaxScaler(),2,0,MinMaxScaler(),S,Second,man,True,Southampton,no,False,3
0,2,male,MinMaxScaler(),1,0,MinMaxScaler(),C,Second,man,True,Cherbourg,no,False,2
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
0,1,male,MinMaxScaler(),0,1,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
1,3,male,MinMaxScaler(),1,0,MinMaxScaler(),C,Third,child,False,Cherbourg,yes,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,True,1
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
1,3,female,MinMaxScaler(),1,1,MinMaxScaler(),C,Third,woman,False,Cherbourg,yes,False,3
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Second,man,True,Cherbourg,no,True,1
1,1,female,MinMaxScaler(),0,2,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,3
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),C,First,man,True,Cherbourg,no,True,1
0,3,female,MinMaxScaler(),0,2,MinMaxScaler(),C,Third,woman,False,Cherbourg,no,False,3
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,True,1
1,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,2,male,MinMaxScaler(),1,1,MinMaxScaler(),S,Second,man,True,Southampton,no,False,3
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
0,3,female,MinMaxScaler(),2,2,MinMaxScaler(),S,Third,child,False,Southampton,no,False,5
0,2,male,MinMaxScaler(),0,2,MinMaxScaler(),S,Second,man,True,Southampton,no,False,3
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,2
0,3,male,MinMaxScaler(),0,2,MinMaxScaler(),S,Third,man,True,Southampton,no,False,3
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,1,male,MinMaxScaler(),0,1,MinMaxScaler(),C,First,man,True,Cherbourg,no,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),8,2,MinMaxScaler(),S,Third,man,True,Southampton,no,False,11
0,3,male,MinMaxScaler(),0,1,MinMaxScaler(),S,Third,man,True,Southampton,no,False,2
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,male,MinMaxScaler(),0,2,MinMaxScaler(),S,Third,child,False,Southampton,yes,False,3
1,1,female,MinMaxScaler(),0,1,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,2
0,3,female,MinMaxScaler(),1,4,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,6
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),4,1,MinMaxScaler(),Q,Third,child,False,Queenstown,no,False,6
0,3,male,MinMaxScaler(),1,1,MinMaxScaler(),S,Third,man,True,Southampton,no,False,3
0,3,male,MinMaxScaler(),3,1,MinMaxScaler(),S,Third,man,True,Southampton,no,False,5
0,1,female,MinMaxScaler(),0,0,MinMaxScaler(),C,First,woman,False,Cherbourg,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),8,2,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,11
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Second,man,True,Cherbourg,no,True,1
0,3,male,MinMaxScaler(),4,2,MinMaxScaler(),S,Third,child,False,Southampton,no,False,7
1,3,female,MinMaxScaler(),0,2,MinMaxScaler(),S,Third,child,False,Southampton,yes,False,3
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),1,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,False,2
1,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,yes,True,1
0,3,male,MinMaxScaler(),1,1,MinMaxScaler(),Q,Third,man,True,Queenstown,no,False,3
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,2
1,2,male,MinMaxScaler(),1,1,MinMaxScaler(),S,Second,child,False,Southampton,yes,False,3
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,True,1
0,3,male,MinMaxScaler(),0,1,MinMaxScaler(),S,Third,man,True,Southampton,no,False,2
0,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,man,True,Southampton,no,False,2
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,yes,True,1
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
1,1,male,MinMaxScaler(),0,0,MinMaxScaler(),C,First,man,True,Cherbourg,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,2,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,woman,False,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,False,2
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,True,1
0,2,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,man,True,Southampton,no,False,2
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,1,male,MinMaxScaler(),1,0,MinMaxScaler(),S,First,man,True,Southampton,yes,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),3,1,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,5
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),4,2,MinMaxScaler(),S,Third,child,False,Southampton,yes,False,7
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,True,1
0,2,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,man,True,Southampton,no,False,2
1,2,female,MinMaxScaler(),0,2,MinMaxScaler(),S,Second,child,False,Southampton,yes,False,3
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),C,Third,woman,False,Cherbourg,no,False,2
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
0,1,male,MinMaxScaler(),2,0,MinMaxScaler(),Q,First,man,True,Queenstown,no,False,3
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,True,1
1,2,female,MinMaxScaler(),0,2,MinMaxScaler(),S,Second,woman,False,Southampton,yes,False,3
1,1,male,MinMaxScaler(),1,1,MinMaxScaler(),S,First,man,True,Southampton,yes,False,3
0,2,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,man,True,Southampton,no,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),1,1,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,3
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,man,True,Southampton,no,False,2
0,3,female,MinMaxScaler(),0,2,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,3
1,3,female,MinMaxScaler(),0,2,MinMaxScaler(),C,Third,woman,False,Cherbourg,yes,False,3
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,True,1
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),S,First,woman,False,Southampton,yes,True,1
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,True,1
1,2,female,MinMaxScaler(),0,1,MinMaxScaler(),S,Second,woman,False,Southampton,yes,False,2
1,3,male,MinMaxScaler(),4,2,MinMaxScaler(),S,Third,child,False,Southampton,yes,False,7
0,1,male,MinMaxScaler(),1,1,MinMaxScaler(),S,First,man,True,Southampton,no,False,3
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),4,1,MinMaxScaler(),S,Third,man,True,Southampton,no,False,6
1,3,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,False,2
1,1,female,MinMaxScaler(),0,0,MinMaxScaler(),S,First,woman,False,Southampton,yes,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,yes,True,1
1,2,female,MinMaxScaler(),0,1,MinMaxScaler(),S,Second,woman,False,Southampton,yes,False,2
0,1,male,MinMaxScaler(),0,1,MinMaxScaler(),C,First,man,True,Cherbourg,no,False,2
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
